neighborhood,zipCode,bedRoomNumber,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,baths,rent,sqft,availability,deposit,leaseLength
Pioneer Square,98104,2,291.6829268292683,4.0,11.0,98.0,100.0,5892.487804878048,1.5853658536585367,1798.2105263157894,818.3421052631579,1.0,,
Portage Bay,98102,1,319.42857142857144,5.0,,78.28571428571429,78.28571428571429,8393.0,1.0,1666.0,427.57142857142856,1.0,,
Portage Bay,98102,2,626.0,,,68.0,79.0,9883.0,1.0,2000.0,700.0,1.0,500.0,
Queen Anne,98109,1,298.52941176470586,4.4,2.0,74.17647058823529,67.88235294117646,7135.941176470588,1.0,1860.4545454545455,674.7058823529412,1.0,975.0,12.0
Queen Anne,98109,2,214.0,4.076923076923077,2.0,64.35,69.65,5886.0,1.7,2905.0,996.425,1.0,2000.0,12.0
Queen Anne,98119,1,351.14285714285717,,2.0,71.42857142857143,57.57142857142857,7968.928571428572,1.0,1683.25,659.2307692307693,1.0,1032.5,12.0
Queen Anne,98119,2,419.6,,2.0,69.6,58.2,8392.2,1.2,2175.5,881.4,1.0,,
Queen Anne,98119,3,464.6666666666667,,2.0,76.0,58.333333333333336,8905.0,1.8333333333333333,3522.5,1214.0,1.0,2350.0,12.0
Queen Anne,98119,4,616.0,,,86.0,60.0,9873.0,2.5,5433.0,2348.0,,1000.0,1.0
Rainier Beach,98178,1,548.0,,,22.5,47.0,9657.5,1.0,1545.0,475.0,1.0,775.0,6.0
Ravenna,98105,1,656.0,,,92.5,69.0,10105.0,1.0,1322.5,575.0,1.0,1200.0,12.0
Ravenna,98115,1,189.0,5.0,,78.0,51.0,6143.5,1.0,1573.75,497.0,1.0,,
Renton,98178,1,395.0,4.0,,37.0,,9141.5,1.0,1165.5,523.75,1.0,,
Renton,98178,2,395.0,4.0,,37.0,,9143.0,1.0,1361.0,974.0,1.0,,
Riverview,98106,3,464.5,,,45.5,46.0,9441.25,2.25,2750.0,1532.5,1.0,2450.0,12.0
Roosevelt,98115,1,368.5732484076433,5.0,1.5714285714285714,96.20382165605096,60.72292993630573,6671.070063694267,1.0095541401273886,1492.2449799196788,405.2308917197452,1.0,,
Roosevelt,98115,2,358.3611111111111,5.0,1.0,96.05555555555556,59.5,6641.333333333333,1.7777777777777777,2654.9473684210525,854.6805555555555,1.0,1666.6666666666667,12.0
Roxhill,98126,1,427.1,,5.0,58.2,46.4,9246.7,1.0,1624.75,554.0,1.0,1200.0,3.0
Roxhill,98126,2,385.0,,5.0,56.0,45.0,9070.142857142857,1.0,1732.3333333333333,752.8571428571429,1.0,,
Seatac,98198,1,181.0,,4.0,41.0,55.0,5985.5,1.0,1399.0,725.0,1.0,,
Seatac,98198,2,181.0,,4.0,41.0,55.0,5990.571428571428,1.0,1610.0,900.0,1.0,,
Seatac,98198,3,181.0,,4.0,41.0,55.0,5992.5,2.0,2035.0,1105.0,1.0,,
Seattle,98102,2,571.0,,,75.0,55.0,9758.0,1.0,2350.0,1500.0,,2350.0,12.0
Seattle,98103,1,319.0,,1.0,87.0,58.0,5807.0,1.0,1796.25,790.75,,,
Seattle,98103,2,319.0,,1.0,87.0,58.0,5804.3,1.6,2502.0,932.2,1.0,,
